"Theta [deg]","dB(DirLHCP) [] - Freq='2.07GHz' Phi='0deg'","dB(DirLHCP) [] - Freq='2.07GHz' Phi='180deg'","dB(DirRHCP) [] - Freq='2.07GHz' Phi='0deg'","dB(DirRHCP) [] - Freq='2.07GHz' Phi='180deg'"
0,3.93808473838008,3.93808473838008,-15.3493459193854,-15.3493459193854
1,3.94621579788194,3.92846755876208,-15.3804585240507,-15.3531398154482
2,3.952471240751,3.91791541234806,-15.4452617687049,-15.3923456825692
3,3.9566471448576,3.90710751148559,-15.5418580939793,-15.4666975883355
4,3.95873822114491,3.89680947783727,-15.6676635665896,-15.5750647858983
5,3.9589392584061,3.88782574923677,-15.8193684721826,-15.7153248621479
6,3.95763462560143,3.88094863680819,-15.9928633989024,-15.8842026723342
7,3.95537597311909,3.876907059317,-16.1831358520073,-16.0770772435556
8,3.95284882569641,3.87631828217087,-16.3841519112707,-16.2877666143553
9,3.95082941096021,3.87964606607515,-16.5887525446536,-16.5083160559865
10,3.95013380301447,3.88716840702909,-16.7886142232133,-16.7288411180908
11,3.9515622206297,3.89895748228614,-16.9743440258093,-16.9375136853329
12,3.95584200145142,3.91487351746721,-17.1357901229433,-17.1208190217487
13,3.9635732451926,3.93457313186265,-17.2626329935468,-17.264231852055
14,3.97518124706771,3.95753143080792,-17.3452646233366,-17.3534198276752
15,3.99087953105858,3.98307585731169,-17.3758609097722,-17.3759428049073
16,4.01064651588707,4.01042875224201,-17.3494375072678,-17.3231813124576
17,4.03421767189249,4.03875483477155,-17.2646145768084,-17.1919971738222
18,4.06109360911899,4.06720948032798,-17.1238613819662,-16.9855762467817
19,4.09056308687347,4.09498375877846,-16.9331496157987,-16.7131373480419
20,4.12173867071033,4.12134266417642,-16.7011394884648,-16.3886170644747
21,4.15360185765326,4.14565374599768,-16.4381515398206,-16.0287984863966
22,4.18505403704001,4.16740435041249,-16.1551853825821,-15.6514426826648
23,4.21496965312771,4.18620680661429,-15.8631584564614,-15.2738187351226
24,4.24224830859058,4.20179205965784,-15.5724205285168,-14.9117740272079
25,4.26586316898994,4.21399337288629,-15.2925092708089,-14.579289272783
26,4.28490375668988,4.2227227136467,-15.0320690441185,-14.288372702062
27,4.29861193179898,4.22794320533276,-14.7988508198664,-14.0491403514132
28,4.30641045130378,4.22964148643503,-14.5997276192028,-13.8699596091831
29,4.30792391549317,4.22780388455397,-14.4406811749443,-13.7575678350501
30,4.30299212713482,4.22239994072421,-14.3267327437582,-13.7171011259835
31,4.29167590719165,4.2133760034634,-14.2618010859202,-13.7519757717718
32,4.27425526036176,4.20066040486115,-14.2484744124327,-13.8635576378323
33,4.25121951831589,4.18418023798071,-14.2876837466731,-14.0505369446488
